"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","1002.5","1005.9","1004.8","2020-07-10 23:55","1000.2","2020-07-10 01:08","32.2","38.6","2020-07-10 12:43","28.4","2020-07-10 05:11","23.0","61","31","2020-07-10 12:28","2.0","180","9.7","310","2020-07-10 13:14","0.0","0.0","0.0","...","0.0","...","4.4","32.4","23.83","27.5","6.2","...","...","8.0"
"11","1004.5","1007.9","1005.9","2020-07-11 07:38","1003.0","2020-07-11 15:10","31.4","37.7","2020-07-11 12:09","28.0","2020-07-11 05:36","23.1","63","36","2020-07-11 11:01","1.6","180","8.3","40","2020-07-11 13:56","0.0","0.0","0.0","...","0.0","...","5.5","40.6","19.98","48.8","5.0","...","...","5.5"
"12","1004.2","1007.6","1006.0","2020-07-12 07:20","1001.7","2020-07-12 15:53","32.5","38.0","2020-07-12 12:18","27.7","2020-07-12 05:39","22.9","59","34","2020-07-12 10:46","1.6","190","8.0","360","2020-07-12 12:04","0.0","0.0","0.0","...","0.0","...","9.9","73.1","28.85","38.8","6.5","...","...","5.0"
"13","1003.3","1006.7","1004.9","2020-07-13 07:11","1001.5","2020-07-13 15:31","32.7","38.9","2020-07-13 11:59","28.1","2020-07-13 04:48","22.5","57","35","2020-07-13 12:17","1.3","180","6.1","310","2020-07-13 15:32","0.0","0.0","0.0","...","0.0","...","9.0","66.5","26.96","32.5","7.3","...","...","5.5"
"14","1002.1","1005.5","1003.9","2020-07-14 06:57","999.6","2020-07-14 16:07","32.0","37.8","2020-07-14 14:18","27.9","2020-07-14 04:20","22.7","59","36","2020-07-14 15:03","1.8","180","7.6","80","2020-07-14 12:16","0.0","0.0","0.0","...","0.0","...","6.5","48.1","22.03","24.8","5.6","...","...","6.5"
"15","1001.6","1005.0","1003.2","2020-07-15 08:05","999.8","2020-07-15 15:51","31.6","37.2","2020-07-15 13:43","29.3","2020-07-15 07:01","24.5","67","43","2020-07-15 12:46","1.7","180","7.8","320","2020-07-15 14:21","0.0","0.0","0.0","...","0.0","...","3.2","23.7","17.78","21.3","4.8","...","...","9.0"
"16","1002.2","1005.6","1003.9","2020-07-16 21:57","1001.1","2020-07-16 12:36","31.4","36.0","2020-07-16 12:44","28.4","2020-07-16 05:01","23.0","63","39","2020-07-16 10:51","2.1","180","12.6","280","2020-07-16 10:25","0.0","0.0","0.0","...","0.0","...","1.7","12.6","15.59","47.5","4.9","...","...","9.3"
"17","1003.8","1007.3","1005.4","2020-07-17 07:02","1002.3","2020-07-17 02:45","31.9","38.6","2020-07-17 14:48","27.4","2020-07-17 04:54","22.7","60","37","2020-07-17 14:50","1.7","170","10.0","130","2020-07-17 16:30","0.0","0.0","0.0","...","0.0","...","5.9","43.8","20.51","35.0","5.5","...","...","7.0"
"18","1003.9","1007.3","1005.1","2020-07-18 07:41","1002.5","2020-07-18 14:29","31.9","38.6","2020-07-18 11:23","27.8","2020-07-18 05:01","23.4","63","33","2020-07-18 11:32","2.2","180","8.9","100","2020-07-18 15:25","0.0","0.0","0.0","...","0.0","...","6.7","49.7","20.87","42.5","4.8","...","...","7.5"
"19","1004.3","1007.7","1006.1","2020-07-19 22:10","1003.0","2020-07-19 13:32","30.8","39.0","2020-07-19 13:00","27.0","2020-07-19 14:53","24.5","72","36","2020-07-19 12:01","1.4","180","9.7","70","2020-07-19 14:43","13.5","1.3","12.0","2020-07-19 14:27","13.5","2020-07-19 14:27","4.4","32.7","18.33","23.3","-5.1","...","...","7.5"
"20","1006.6","1010.1","1008.5","2020-07-20 21:17","1005.0","2020-07-20 15:38","29.6","38.2","2020-07-20 13:14","25.4","2020-07-20 17:16","23.6","73","34","2020-07-20 11:42","1.5","180","11.2","200","2020-07-20 16:02","4.0","1.1","2.5","2020-07-20 16:53","4.0","2020-07-20 16:05","5.8","43.1","20.28","20.0","-3.9","...","...","6.3"
"21","1007.8","1011.3","1008.7","2020-07-21 09:08","1006.6","2020-07-21 15:41","30.2","36.5","2020-07-21 12:04","26.2","2020-07-21 02:05","23.4","70","38","2020-07-21 10:14","1.1","180","8.0","310","2020-07-21 13:20","1.0","0.5","1.0","2020-07-21 16:59","1.0","2020-07-21 16:09","5.4","40.2","20.84","34.3","-4.1","...","...","6.0"
"22","1006.5","1009.9","1008.2","2020-07-22 00:01","1004.9","2020-07-22 20:17","31.2","37.0","2020-07-22 13:13","27.3","2020-07-22 05:43","23.4","65","41","2020-07-22 13:10","1.6","180","8.6","20","2020-07-22 14:19","0.0","0.0","0.0","...","0.0","...","6.2","46.2","22.17","30.0","5.1","...","...","5.5"
"23","1005.5","1008.9","1006.8","2020-07-23 07:30","1003.9","2020-07-23 15:29","30.5","37.2","2020-07-23 11:18","27.4","2020-07-23 16:58","24.0","70","41","2020-07-23 11:10","1.8","180","11.2","180","2020-07-23 16:20","T","0.9","T","2020-07-23 16:37","T","2020-07-23 16:37","4.9","36.6","18.49","21.3","-4.2","...","...","5.8"
"24","1004.0","1007.4","1006.0","2020-07-24 06:52","1001.5","2020-07-24 15:56","32.4","39.7","2020-07-24 14:19","26.8","2020-07-24 05:46","23.3","61","35","2020-07-24 14:20","1.6","300","8.9","320","2020-07-24 13:04","0.0","0.0","0.0","...","0.0","...","7.3","54.5","26.51","40.0","6.0","...","...","7.0"
"25","1003.7","1007.2","1005.0","2020-07-25 22:27","1002.1","2020-07-25 16:44","30.2","35.2","2020-07-25 10:00","27.4","2020-07-25 15:43","24.1","71","45","2020-07-25 10:04","1.9","180","11.9","350","2020-07-25 13:33","6.0","0.5","5.5","2020-07-25 11:20","6.0","2020-07-25 11:20","2.9","21.7","14.66","37.5","-5.2","...","...","9.0"
"26","1003.6","1007.1","1004.8","2020-07-26 08:07","1001.6","2020-07-26 14:14","28.4","37.6","2020-07-26 12:09","25.4","2020-07-26 15:10","23.7","78","39","2020-07-26 12:12","1.7","180","12.8","80","2020-07-26 14:22","38.5","3.1","11.5","2020-07-26 14:56","34.5","2020-07-26 14:42","4.8","35.9","15.93","27.5","-6.0","...","...","7.3"
"27","1003.9","1007.4","1005.4","2020-07-27 21:41","1002.4","2020-07-27 02:51","28.5","36.5","2020-07-27 12:17","26.0","2020-07-27 17:01","23.6","78","39","2020-07-27 10:46","1.4","190","8.5","350","2020-07-27 13:16","3.5","3.1","1.0","2020-07-27 16:43","2.5","2020-07-27 16:02","5.3","39.7","19.55","26.3","-3.6","...","...","9.0"
"28","1005.0","1008.5","1006.4","2020-07-28 08:18","1003.4","2020-07-28 16:02","29.7","35.1","2020-07-28 11:04","25.9","2020-07-28 01:24","23.3","70","44","2020-07-28 11:07","1.5","210","8.8","30","2020-07-28 12:25","0.5","0.4","0.5","2020-07-28 12:32","0.5","2020-07-28 12:32","3.8","28.5","16.66","36.3","-4.3","...","...","6.5"
"29","1004.5","1008.0","1006.3","2020-07-29 23:06","1002.5","2020-07-29 15:42","31.2","35.6","2020-07-29 12:17","27.2","2020-07-29 05:37","22.2","61","40","2020-07-29 12:32","3.1","120","14.3","150","2020-07-29 17:33","0.0","0.0","0.0","...","0.0","...","11.4","85.7","30.35","37.5","7.8","...","...","2.0"
"30","1004.4","1007.8","1005.7","2020-07-30 09:14","1003.2","2020-07-30 03:26","30.7","33.1","2020-07-30 09:39","29.3","2020-07-30 04:58","23.1","64","48","2020-07-30 09:17","4.0","120","13.9","110","2020-07-30 20:44","0.0","0.0","0.0","...","0.0","...","0.8","6.0","13.03","43.8","3.5","...","...","9.3"
"31","1003.8","1007.2","1005.3","2020-07-31 08:03","1002.1","2020-07-31 15:34","32.1","36.3","2020-07-31 12:39","30.2","2020-07-31 05:15","22.6","58","40","2020-07-31 14:31","4.2","130","14.2","150","2020-07-31 12:41","0.0","0.0","0.0","...","0.0","...","8.8","66.3","28.31","32.5","8.2","...","...","4.3"
